순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,Year,Team
1,장성호,KIA,0.300,130,561,474,78,142,29,0,19,228,80,0,4,2004,KIA
4,심재학,KIA,0.282,128,469,372,64,105,23,2,22,198,81,3,9,2004,KIA
5,마해영,KIA,0.281,124,519,437,54,123,16,0,11,172,71,1,11,2004,KIA
8,김종국,KIA,0.265,133,562,491,66,130,20,1,10,182,46,18,2,2004,KIA
11,이종범,KIA,0.260,133,577,493,100,128,29,0,17,208,52,12,2,2004,KIA
1,양준혁,삼성,0.315,133,584,479,95,151,30,0,28,265,103,1,2,2004,삼성
2,박한이,삼성,0.310,132,587,503,81,156,26,2,16,234,63,7,3,2004,삼성
3,강동우,삼성,0.295,132,497,438,59,129,22,1,3,162,49,7,1,2004,삼성
5,박종호,삼성,0.282,132,587,514,78,145,25,0,8,194,59,13,4,2004,삼성
6,진갑용,삼성,0.278,129,491,439,60,122,20,0,24,214,71,2,4,2004,삼성
8,김한수,삼성,0.271,133,558,498,60,135,30,1,16,215,84,6,4,2004,삼성
1,이병규,LG,0.323,129,562,496,95,160,26,2,14,232,64,3,1,2004,LG
2,김재현,LG,0.300,120,458,373,56,112,18,3,14,178,62,0,7,2004,LG
2,홍성흔,두산,0.329,133,552,501,62,165,27,2,14,238,86,3,2,2004,두산
4,김동주,두산,0.286,124,517,430,72,123,19,1,19,201,76,0,2,2004,두산
5,장원진,두산,0.284,130,486,429,51,122,15,4,5,160,49,5,3,2004,두산
6,안경현,두산,0.280,125,525,447,57,125,20,1,10,177,51,9,2,2004,두산
7,최경환,두산,0.278,126,480,436,49,121,16,4,5,160,58,0,6,2004,두산
9,전상렬,두산,0.274,128,542,486,76,133,18,2,5,170,42,10,4,2004,두산
1,이진영,SK,0.342,117,483,404,74,138,19,1,15,204,63,6,2,2004,SSG
2,김기태,SK,0.320,126,465,403,60,129,24,0,10,183,67,4,1,2004,SSG
4,박경완,SK,0.295,132,526,410,94,121,19,1,34,244,79,6,2,2004,SSG
6,이호준,SK,0.280,133,578,497,87,139,22,2,30,255,112,2,6,2004,SSG
7,조원우,SK,0.277,119,463,386,59,107,17,2,3,137,35,20,4,2004,SSG
10,김민재,SK,0.260,129,489,435,57,113,13,1,4,140,40,22,5,2004,SSG
1,페레즈,롯데,0.314,125,532,490,60,154,17,0,18,225,86,1,3,2004,롯데
4,손인호,롯데,0.284,122,480,408,54,116,21,2,5,156,42,1,4,2004,롯데
10,이대호,롯데,0.248,132,514,444,52,110,26,0,20,196,68,6,6,2004,롯데
13,김주찬,롯데,0.242,120,503,450,53,109,20,5,7,160,42,6,2,2004,롯데
3,김태균,한화,0.323,129,556,473,76,153,26,1,23,250,106,0,7,2004,한화
4,이영우,한화,0.319,131,572,483,94,154,31,3,13,230,60,6,2,2004,한화
6,이범호,한화,0.308,133,541,481,80,148,35,3,23,258,74,5,4,2004,한화
7,데이비스,한화,0.291,119,510,440,70,128,26,1,19,213,77,2,4,2004,한화
1,이종범,KIA,0.312,118,495,430,69,134,25,2,6,181,36,7,0,2005,KIA
2,장성호,KIA,0.300,123,533,464,70,139,23,1,16,212,74,1,4,2005,KIA
7,이용규,KIA,0.266,124,479,414,57,110,17,2,5,146,37,14,3,2005,KIA
2,박한이,삼성,0.295,123,551,471,62,139,21,0,9,187,59,12,4,2005,삼성
3,김한수,삼성,0.293,114,465,406,55,119,18,0,15,182,73,3,3,2005,삼성
7,심정수,삼성,0.275,124,528,433,77,119,14,0,28,217,87,0,2,2005,삼성
8,조동찬,삼성,0.274,122,447,387,55,106,16,0,16,170,63,3,3,2005,삼성
9,박종호,삼성,0.268,119,484,392,63,105,21,0,4,138,36,25,3,2005,삼성
10,양준혁,삼성,0.261,124,463,394,61,103,15,1,13,159,50,0,2,2005,삼성
1,이병규,LG,0.337,119,517,466,62,157,24,2,9,212,75,1,7,2005,LG
4,클리어,LG,0.303,110,453,402,64,122,23,4,15,198,61,0,5,2005,LG
5,박용택,LG,0.280,126,523,472,90,132,25,1,15,204,71,0,3,2005,LG
5,장원진,두산,0.286,123,478,423,58,121,16,0,3,146,42,2,2,2005,두산
7,손시헌,두산,0.276,126,480,416,59,115,18,5,4,155,60,6,6,2005,두산
3,김재현,SK,0.315,120,499,400,63,126,17,0,19,200,77,0,3,2005,SSG
4,박재홍,SK,0.304,109,495,421,76,128,21,1,18,205,63,2,3,2005,SSG
5,이진영,SK,0.291,122,523,453,76,132,19,1,20,213,74,8,4,2005,SSG
6,정경배,SK,0.286,126,502,427,49,122,16,1,11,173,63,14,7,2005,SSG
8,김민재,SK,0.277,125,508,440,58,122,19,0,2,147,37,16,4,2005,SSG
6,라이온,롯데,0.268,125,534,492,65,132,40,3,11,211,73,2,1,2005,롯데
7,이대호,롯데,0.266,126,512,447,53,119,16,2,21,202,80,0,3,2005,롯데
3,데이비스,한화,0.323,118,507,431,90,139,24,0,24,235,86,0,6,2005,한화
4,김태균,한화,0.317,124,529,461,73,146,33,2,23,252,100,0,2,2005,한화
10,이범호,한화,0.273,126,513,444,69,121,27,1,26,228,68,1,6,2005,한화
2,이용규,KIA,0.318,125,552,485,78,154,25,9,1,200,39,7,1,2006,KIA
3,장성호,KIA,0.306,126,540,445,62,136,24,2,13,203,79,3,6,2006,KIA
